"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"Battery_3.7V1";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02";;;
2;"C3";"C_0805_2012Metric";1;"22µF";;;
3;"C4";"C_0805_2012Metric";1;"22uF";;;
4;"C5";"C_0805_2012Metric";1;"10uF";;;
5;"C6";"C_0402_1005Metric";1;"100nF";;;
6;"C7, C8";"CP_Radial_D6.3mm_P2.50mm";2;"100µF";;;
7;"D3";"D_SOD-123";1;"1N5819";;;
8;"J1";"PinHeader_2x20_P2.54mm_Vertical";1;"Conn_02x20_Odd_Even";;;
9;"J2";"PinHeader_1x02_P2.54mm_Vertical";1;"TP4056_Module";;;
10;"J3";"PinSocket_1x05_P2.54mm_Horizontal";1;"Joystick_Left";;;
11;"J4";"PinSocket_1x05_P2.54mm_Horizontal";1;"Joystick_Right";;;
12;"J5";"PinHeader_1x02_P2.54mm_Vertical";1;"Display_5V";;;
13;"J6";"PinHeader_1x02_P2.54mm_Vertical";1;"Speaker";;;
14;"J7";"Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal";1;"AudioJack3_3.5mm";;;
15;"J10, J13";"PinHeader_1x12_P1.00mm_Vertical";2;"Connector Left Board";;;
16;"J11";"PinHeader_1x12_P1.00mm_Vertical";1;"Connector Right Board";;;
17;"J12";"PinHeader_1x12_P1.00mm_Vertical";1;" Connector Right Board";;;
18;"JM1";"Joystick Module 40x27mm";1;"Joystick Module Left Board";;;
19;"JM2";"Joystick Module 40x27mm";1;"Joystick Module right board";;;
20;"L1";"L_Bourns_SRR1260";1;"22uH";;;
21;"R4";"R_0402_1005Metric";1;"100k";;;
22;"R5";"R_0402_1005Metric";1;"33k";;;
23;"R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R22, R23, R28, R29";"R_0402_1005Metric";14;"10k";;;
24;"R18, R19";"R_0402_1005Metric";2;"4.7k";;;
25;"R20, R21";"R_0402_1005Metric";2;"100";;;
26;"R24, R25, R26, R27";"R_0402_1005Metric";4;"20k";;;
27;"SW1";"SW_Slide_SPDT_Angled_CK_OS102011MA1Q";1;"SW_SPDT";;;
28;"SW2";"SW_PUSH_6mm_H5mm";1;"Button_A";;;
29;"SW3";"SW_PUSH_6mm_H5mm";1;"Button_B";;;
30;"SW4";"SW_PUSH_6mm_H5mm";1;"Button_X";;;
31;"SW5";"SW_PUSH_6mm_H5mm";1;"Button_Y";;;
32;"SW6";"SW_PUSH_6mm_H5mm";1;"D-pad UP";;;
33;"SW7";"SW_PUSH_6mm_H5mm";1;"D-pad DOWN";;;
34;"SW8";"SW_PUSH_6mm_H5mm";1;"D-pad LEFT";;;
35;"SW9";"SW_PUSH_6mm_H5mm";1;"D-pad RIGHT";;;
36;"SW12";"SW_PUSH_6mm_H5mm";1;"Start";;;
37;"SW13";"SW_PUSH_6mm_H5mm";1;"Select";;;
38;"U2";"SOT-23-6";1;"MT3608";;;
39;"U3";"TSSOP-10_3x3mm_P0.5mm";1;"ADS1115IDGS";;;
40;"U4";"TQFN-16-1EP_3x3mm_P0.5mm_EP1.23x1.23mm";1;"MAX98357A";;;
