Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10µF,C_0805_2012Metric,-131.74,47.06,180,bottom
C2,4.7µF,C_0805_2012Metric,-151.525685,45.224315,180,bottom
C3,22µF,C_0805_2012Metric,-124.99,58.81,180,bottom
C4,22uF,C_0805_2012Metric,-90.19,66.81,0,bottom
C5,10uF,C_0805_2012Metric,-214.15,58.15,180,bottom
C6,100nF,C_0402_1005Metric,-214.18,53.9,0,bottom
D3,1N5819,D_SOD-123,-96.89,66.81,180,bottom
L1,22uH,L_Bourns_SRR1260,-107.64,66.81,180,bottom
R1,2K,R_0402_1005Metric,-138.085685,48.79,180,bottom
R2,1K,R_0402_1005Metric,-147.085685,52.474315,180,bottom
R3,1K,R_0402_1005Metric,-142.065685,52.474315,180,bottom
R4,100k,R_0402_1005Metric,-112.75,58.06,180,bottom
R5,33k,R_0402_1005Metric,-113.75,53.81,180,bottom
R6,10k,R_0402_1005Metric,-39.485,15.425,-90,bottom
R7,10k,R_0402_1005Metric,-16.485,24.675,90,bottom
R8,10k,R_0402_1005Metric,-49.235,24.175,-90,bottom
R9,10k,R_0402_1005Metric,-39.735,33.175,-90,bottom
R10,10k,R_0402_1005Metric,-295.68,35.96,90,bottom
R11,10k,R_0402_1005Metric,-309.43,18.23,-90,bottom
R12,10k,R_0402_1005Metric,-319.43,27.23,-90,bottom
R13,10k,R_0402_1005Metric,-286.18,26.96,90,bottom
R14,10k,R_0402_1005Metric,-278.41,59.55,180,bottom
R15,10k,R_0402_1005Metric,-278.41,55.8,0,bottom
R16,5.1k,R_0402_1005Metric,-148.09,66.605,180,bottom
R17,5.1k,R_0402_1005Metric,-142.5,66.81,0,bottom
R18,4.7k,R_0402_1005Metric,-243,44.31,180,bottom
R19,4.7k,R_0402_1005Metric,-247,44.31,180,bottom
R20,100,R_0402_1005Metric,-136.25,6.31,180,bottom
R21,100,R_0402_1005Metric,-136.25,8.81,180,bottom
R22,10k,R_0402_1005Metric,-321.67,4.58,-90,bottom
R23,10k,R_0402_1005Metric,-284.17,3.81,90,bottom
R24,20k,R_0402_1005Metric,-273.93,59.55,0,bottom
R25,20k,R_0402_1005Metric,-273.91,55.8,180,bottom
R26,20k,R_0402_1005Metric,-61.995,53.165,180,bottom
R27,20k,R_0402_1005Metric,-61.975,57.165,0,bottom
R28,10k,R_0402_1005Metric,-56.995,53.165,0,bottom
R29,10k,R_0402_1005Metric,-56.995,57.165,180,bottom
U1,TP4056-42-ESOP8,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,-144.550685,47.195,180,bottom
U2,MT3608,SOT-23-6,-118.7275,59.01,180,bottom
U3,ADS1115IDGS,TSSOP-10_3x3mm_P0.5mm,-240.39,39.81,180,bottom
U4,MAX98357A,TQFN-16-1EP_3x3mm_P0.5mm_EP1.23x1.23mm,-121.74,7.7475,180,bottom
Battery_3.7V1,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,-120.24,47.6,0,top
C7,100µF,CP_Radial_D6.3mm_P2.50mm,-145.49,2.56,180,top
C8,100µF,CP_Radial_D6.3mm_P2.50mm,-145.74,13.06,180,top
D1,RED,LED_D3.0mm,-134.49,72.81,180,top
D2,Green,LED_D3.0mm,-153.49,72.56,180,top
J1,Conn_02x20_Odd_Even,PinHeader_2x20_P2.54mm_Vertical,-223.74,56.91,0,top
J2,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_GCT_USB4085,-142.44,70.2,180,top
J3,Joystick_Left,PinSocket_1x05_P2.54mm_Horizontal,-282.42,64.67,0,top
J4,Joystick_Right,PinSocket_1x05_P2.54mm_Horizontal,-51.735,48.165,180,top
J5,Display_5V,PinHeader_1x02_P2.54mm_Vertical,-186.33,69.35,0,top
J6,Speaker,PinHeader_1x02_P2.54mm_Vertical,-130.24,6.31,180,top
J7,AudioJack3_3.5mm,Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal,-163.19,0.41,180,top
J10,FCC Connector Left Board,PinHeader_1x12_P1.00mm_Vertical,-273.42,41.8,0,top
J11,FCC Connector Right Board,PinHeader_1x12_P1.00mm_Vertical,-63.235,36.665,0,top
J12,FCC Connector Right Board,PinHeader_1x12_P1.00mm_Vertical,-81.49,41.31,0,top
J13,FCC Connector Left Board,PinHeader_1x12_P1.00mm_Vertical,-254.44,42.81,0,top
JM1,Joystick Module Left Board,Joystick Module 40x27mm,-20.735,54.915,0,top
JM2,Joystick Module right board,Joystick Module 40x27mm,-315.897512,58.031697,0,top
SW1,SW_SPDT,SW_Slide_SPDT_Angled_CK_OS102011MA1Q,-119.64,74.06,180,top
SW2,Button_A,SW_PUSH_6mm_H5mm,-35.735,18.165,0,top
SW3,Button_B,SW_PUSH_6mm_H5mm,-26.485,26.915,0,top
SW4,Button_X,SW_PUSH_6mm_H5mm,-45.485,26.665,0,top
SW5,Button_Y,SW_PUSH_6mm_H5mm,-35.985,35.415,0,top
SW6,D-pad UP,SW_PUSH_6mm_H5mm,-305.92,38.3,0,top
SW7,D-pad DOWN,SW_PUSH_6mm_H5mm,-305.92,20.3,0,top
SW8,D-pad LEFT,SW_PUSH_6mm_H5mm,-315.92,29.55,0,top
SW9,D-pad RIGHT,SW_PUSH_6mm_H5mm,-296.17,29.55,0,top
SW12,Start,SW_PUSH_6mm_H5mm,-317.42,6.82,0,top
SW13,Select,SW_PUSH_6mm_H5mm,-294.17,6.57,0,top
