Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R6,10k,R_0402_1005Metric,665.732,-316.182,-90,bottom
R7,10k,R_0402_1005Metric,688.732,-306.932,90,bottom
R8,10k,R_0402_1005Metric,655.982,-307.432,-90,bottom
R9,10k,R_0402_1005Metric,665.482,-298.432,-90,bottom
R26,20k,R_0402_1005Metric,643.222,-278.442,180,bottom
R27,20k,R_0402_1005Metric,643.242,-274.442,0,bottom
R28,10k,R_0402_1005Metric,648.222,-278.442,0,bottom
R29,10k,R_0402_1005Metric,648.222,-274.442,180,bottom
J4,Joystick_Right,PinSocket_1x05_P2.54mm_Horizontal,653.482,-283.442,180,top
J11,FCC Connector Right Board,PinHeader_1x12_P1.00mm_Vertical,641.982,-294.942,0,top
JM1,Joystick Module Left Board,Joystick Module 40x27mm,684.482,-276.692,0,top
SW2,Button_A,SW_PUSH_6mm_H5mm,669.482,-313.442,0,top
SW3,Button_B,SW_PUSH_6mm_H5mm,678.732,-304.692,0,top
SW4,Button_X,SW_PUSH_6mm_H5mm,659.732,-304.942,0,top
SW5,Button_Y,SW_PUSH_6mm_H5mm,669.232,-296.192,0,top
