Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"Solder","I cant solder witout solder and i have like 1cm or so left as i used the rest before my soldering iron short cicuited.",1,7.75,"https://www.amazon.in/SONEAK-Solder-Rosin-Electrical-Soldering/dp/B084RZWVXY/ref=sr_1_2_sspa?crid=1OEPDUTX05XDF&dib=eyJ2IjoiMSJ9.fEMWsflOWSNBVoMFgHEsua_c3fD9DbLXZBMZ1p65w3M8HhxuQ3_Jje6QKgw__v8tzeYPxndix9_VZvY63jSt99r0d_kVmMhTU74jZwF-x9xSW9mJb6YD2JSGuWzasnvgm4iP6JQRJKUaOOjTdUU3SPmI0srpBSgmnaNQNyqa3QizMHAOnNHxNCX2Plsc_MtbefMbz7SqIsPVn2Jb44lnFQcbh-jzDkJLHzcqsyY19rA1CyBbjagPsiW9ROnsjyHVPlSkKolgFzkxL-1ox3NfNG456aAAQrWfk802G9-K5pU.9oETs_cvx4PDZmVfBekGTNohpXAKolBMe2e-yDC8mHA&dib_tag=se&keywords=solder%2Bwire&qid=1778606464&sprefix=solder%2Bwi%2Caps%2C389&sr=8-2-spons&aref=BSR90XjDmV&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1","Amazon"
"Soldering Flux","To help solder and not have cold solder joints.",1,0.83,"https://www.amazon.in/UNIVERSAL-HUB-Soldering-Electronics-components/dp/B0FV8HHBTN/ref=sr_1_9?dib=eyJ2IjoiMSJ9.Jr7valbVp7SWJTlKi4yoKQuPGNFezJKHwlGhnXZ9gtM25-QfgTOsNeaYanj3NYb3STQcyAQNFct7H09Uo9oFrNGtlM8Z-salZ_bcV7RfyOOjX5bLMtYQ9eKfcI4DoQ03n0bsO2CZSWKj9KbBc0gcvnb1E3btan88xKo2tcTYLw6ckfNcfCcCXiKZfsYCfdA6x0iSoHVB_ExZE2QqnrZRRmnEjn2TapK6ffVtoncR9NFsv1LRTqq8RJhnO5wt4cff5DEfwjmsJv_h1s1yMfTD5nAedZpZB9qvIquHFJ_Dqh4.4089hYh-24_fuh4Ek-1dK6DBfvPGLA93PBESZNVMQ9k&dib_tag=se&keywords=Soldering+Flux&qid=1778606300&sr=8-9","Amazon"
"Soldering Iron","Mine short circuited and i need to solder a buch of stuff on the pcb which i cant without the iron",1,3.02,"https://www.amazon.in/Temperature-Adjustable-Soldering-Heating-Extra/dp/B0DPVMRTXG/ref=asc_df_B0DPVMRTXG?mcid=823e781ae536379085f2f87a598621b9&tag=googleshopdes-21&linkCode=df0&hvadid=709963085987&hvpos=&hvnetw=g&hvrand=13580968355313653580&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9198441&hvtargid=pla-2392102276760&psc=1&hvocijid=13580968355313653580-B0DPVMRTXG-&hvexpln=0&gad_source=1","amazon"
"Soldering Helping hands","Too see what i am soldering and to help solder properly without burning anything by mistake.",1,5.35,"https://robu.in/product/te-801-multi-function-led-magnifier-pcb-soldering-iron-stand-holder-table-magnifying-glass-35x-12x-w-2-led-light/?gad_source=1&gad_campaignid=17416544847&gbraid=0AAAAADvLFWd24dDmkU9IGvhHFEEFGwikH&gclid=CjwKCAjwn4vQBhBsEiwAq3hhN12DWo8ybdtOqUu_JO81ZfgJtvkgHj9lt-Yk-69OA_kFMS5FKHtjRxoCMRYQAvD_BwE","Robu.in"
"JST SH 2 pin Connector 2mm Pitch","to connect battery",1,0.02,"https://robu.in/product/jst-sh-2-pin-connector-2mm-pitch/?gad_source=1&gad_campaignid=17427802559&gbraid=0AAAAADvLFWcjgNliqgZI4OBPRF533sXVE&gclid=CjwKCAjwn4vQBhBsEiwAq3hhN8B8iNoLERYO6wK5aY-XAGPlfCDvc6AVbqGvyEzDs5erAR7UneLT_xoCqZkQAvD_BwE","Robu.in"
"Mini HDMI To HDMI Cable","to connect pi to display",1,1.30,"https://robu.in/product/mini-hdmi-hdmi-cable-1-8-meter-round-high-quality-copper-clad-steel-black/?gad_source=1&gad_campaignid=19974686076&gbraid=0AAAAADvLFWdlE3ZH19FZciwpFVdlVEEIZ&gclid=CjwKCAjwn4vQBhBsEiwAq3hhN0F6I6ATPBrB7MYcZkM1fzTQ1EKChDj6TXwGz6QCFCCAOdSR-k44dxoCYt0QAvD_BwE","Robu.in"
"40mm 8Ω (ohm) 0.5Watt Power Audio Speaker - Multicolor","to produce sound",1,1.66,"https://www.amazon.in/Electronic-Spices-Wired-Sound-Speakers/dp/B07MTK843Z","amazon"
"PS2 joystick module","Left and right joystick",2,0.79,"https://www.flyrobo.in/ps2_game_joystick_module_for_arduino?tracking=ads&tracking=4a9a9a&gad_source=1&gad_campaignid=17426303996&gbraid=0AAAAAC6AkE-ljd6X7E0v9SUCotgaS9ix9&gclid=CjwKCAjwn4vQBhBsEiwAq3hhN5NW5kPVlUYvRkXoIP8V7N2HmgQR2NfLqzFzfFH_N7wIiwS2kpyyjxoCiKkQAvD_BwE","FlyRobo"
"000mAh 3.7V Micro LiPo Battery pack ","To power the device",1,5.64,"https://robu.in/product/nova-955465-4000mah-3-7v-lipo-battery-pack/?gad_source=1&gad_campaignid=17427802559&gbraid=0AAAAADvLFWcjgNliqgZI4OBPRF533sXVE&gclid=CjwKCAjwn4vQBhBsEiwAq3hhN2mW6BbYTkmfNreOc7cIjr7R6802nbfOdaE-dlNALiTHLE5CHKXkrxoCMhQQAvD_BwE","Robu.in"
"100 uF 10V Through Hole Electrolytic Capacitor","headphone blocking on PCB",2,0.04,"https://robu.in/product/100-uf-10v-through-hole-electrolytic-capacitor-pack-of-20/?gad_source=1&gad_campaignid=17427802703&gbraid=0AAAAADvLFWeWv1Z80Xe5y27ZZAETGtFkq&gclid=CjwKCAjwn4vQBhBsEiwAq3hhN9rjYknvhlcapyWf4CN4lR-atLQePxiNTR-0B4gERFTN0aRs_UXXhxoCTpwQAvD_BwE","Robu.in"
"3mm Green LED","To show charging finished",1,0.02,"https://robu.in/product/5mm-green-surface-mount-led-pack-of-50/?gad_source=1&gad_campaignid=17427802703&gbraid=0AAAAADvLFWeWv1Z80Xe5y27ZZAETGtFkq&gclid=CjwKCAjwn4vQBhBsEiwAq3hhN__o8g2F7BuDeRO_htKG7NHWji6tJOlvxhidkyH4JI66VrBBG9l35hoCGa8QAvD_BwE","Robu.in"
"3mm Red LED","To see the charging",1,0.02,"https://robu.in/product/3mm-red-dip-led-pack-of-50/?gad_source=1&gad_campaignid=17427802703&gbraid=0AAAAADvLFWeWv1Z80Xe5y27ZZAETGtFkq&gclid=CjwKCAjwn4vQBhBsEiwAq3hhN09RVO6_m5d3Ji_DHihXPl3dJ8WmQqGSuUWge5V-ZWBG8s2BgAKTRxoCRdsQAvD_BwE","Robu.in"
"6mm Tactile Push Button Switch 6x6 (Pack of 10)","For buttoning ",1,0.14,"https://robu.in/product/6x6x5-tactile-push-button-switch/?gad_source=1&gad_campaignid=17427802703&gbraid=0AAAAADvLFWeWv1Z80Xe5y27ZZAETGtFkq&gclid=CjwKCAjwn4vQBhBsEiwAq3hhN5ZFtZWt1B5oQQ1KOjEssu9Ejde5YJ16EWPOcZkfgm8Ahe-attXnbBoCzfQQAvD_BwE","Robu.in"
"Slide switch SPDT","To switch on the device",1,0.09,"https://robu.in/product/1-month-warranty-805/?gad_source=1&gad_campaignid=17427802703&gbraid=0AAAAADvLFWeWv1Z80Xe5y27ZZAETGtFkq&gclid=CjwKCAjwn4vQBhBsEiwAq3hhN2AAIm8IwnYZL5yDgMskVRFAUkzFiP3txqVk5ilF-hD7IA7MvzDPvxoC6AkQAvD_BwE","Robu.in"
"USB Type C, 2.0, 16P, Receptacle, Horizontal,Top Mount, Thru-Hole","Charging",1,0.80,"https://www.mouser.in/ProductDetail/GCT/USB4920-00-A?qs=vcFyY%252BOcAygpR4IfeDpXRQ%3D%3D","Mouser"
"1x5 2.54mm Female Right Angle Single Row Header Strip","For Connecting the left and right joystick Modules",2,0.26,"https://www.sunrom.com/p/1x5-254mm-female-right-angle-single-row-header-strip","sunrom.com"
"1x2 male pin header 2.54mm","For supplying power to the display and speaker",3,0.69,"https://robu.in/product/a2541wv-2p-9t-cjt-1x2-pin-2-54mm-180-single-row-pin-header-rohs/?gad_source=1&gad_campaignid=17427802703&gbraid=0AAAAADvLFWeWv1Z80Xe5y27ZZAETGtFkq&gclid=CjwKCAjwn4vQBhBsEiwAq3hhNw_zsUAfWa9t5w0ukULnD6xGE3KCIfrP23jTMv3T934VmtEOJdiDrBoCoYIQAvD_BwE","Robu.in"
"2.54MM 2x20 Pin Female Double Row Straight Long Header Strip","To connect the Pi to the PCB",1,0.86,"https://robu.in/product/2-54mm-2x20-pin-female-double-row-straight-long-header-strip/?gad_source=1&gad_campaignid=17427802703&gbraid=0AAAAADvLFWeWv1Z80Xe5y27ZZAETGtFkq&gclid=CjwKCAjwn4vQBhBsEiwAq3hhNwpv6YK5YqPsx5Sg1FhT__FJNKb3lX3lPXnxppK2lVDErdAYAQdDqBoC2xUQAvD_BwE","Robu.in"
"5 Inch Touch Screen HDMI Interface","THE SCREEN To See what i am playing",1,26.09,"https://robu.in/product/5-inch-touch-screen-hdmi-interface-display-module-tft-lcd-800x480-raspberry-pi-2-model-b-touch-pen?gad_campaignid=17416544847&gclid=CjwKCAjwn4vQBhBsEiwAq3hhN5r29YrB_eZRHuONimYekgpfG_lZHsoMOWZBq_K4D_TKbQxkSko2FBoC0WYQAvD_BwE&gad_source=1&gbraid=0AAAAADvLFWd24dDmkU9IGvhHFEEFGwikH","Robu.in"
"Raspberry Pi Zero 2W","This is basically the Brain of the device it shall run RetroPie",1,18.81,"https://robu.in/product/raspberry-pi-zero-wireless-wh-pre-soldered-header?gad_campaignid=19974686076&gbraid=0AAAAADvLFWdlE3ZH19FZciwpFVdlVEEIZ&gad_source=1&gclid=CjwKCAjwn4vQBhBsEiwAq3hhN4MPcvYQ_y2eKguQ6pzSk-BKfvd3kTKl6UXlq74fVdwiQbTmYkttxxoC5bQQAvD_BwE","Robu.in"
"PCBA for bottom SMD components on PCB","PCB SMD comlponent assembly since idk how to solder SMD components :(",2,78.32,"https://jlcpcb.com","JLCPCB"
"PCB (Motherboard, and both daughter boards)","Basically the heart of the device. These are the custom PCB's that i have made for the handheld gaming device these shall hold all components and connect them.",5,18.00,"https://jlcpcb.com","JLCPCB"
