Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10µF,C_0805_2012Metric,508.5,-223,180,bottom
C2,4.7µF,C_0805_2012Metric,488.714315,-224.835685,180,bottom
C3,22µF,C_0805_2012Metric,515.25,-211.25,180,bottom
C4,22uF,C_0805_2012Metric,550.05,-203.25,0,bottom
C5,10uF,C_0805_2012Metric,426.09,-211.91,180,bottom
C6,100nF,C_0402_1005Metric,426.06,-216.16,0,bottom
D3,1N5819,D_SOD-123,543.35,-203.25,180,bottom
L1,22uH,L_Bourns_SRR1260,532.6,-203.25,180,bottom
R1,2K,R_0402_1005Metric,502.154315,-221.27,180,bottom
R2,1K,R_0402_1005Metric,493.154315,-217.585685,180,bottom
R3,1K,R_0402_1005Metric,498.174315,-217.585685,180,bottom
R4,100k,R_0402_1005Metric,527.49,-212,180,bottom
R5,33k,R_0402_1005Metric,526.49,-216.25,180,bottom
R6,10k,R_0402_1005Metric,614.5,-249.49,-90,bottom
R7,10k,R_0402_1005Metric,637.5,-240.24,90,bottom
R8,10k,R_0402_1005Metric,604.75,-240.74,-90,bottom
R9,10k,R_0402_1005Metric,614.25,-231.74,-90,bottom
R10,10k,R_0402_1005Metric,333.24,-234.09,90,bottom
R11,10k,R_0402_1005Metric,319.49,-251.82,-90,bottom
R12,10k,R_0402_1005Metric,309.49,-242.82,-90,bottom
R13,10k,R_0402_1005Metric,342.74,-243.09,90,bottom
R14,10k,R_0402_1005Metric,350.51,-210.5,180,bottom
R15,10k,R_0402_1005Metric,350.51,-214.25,0,bottom
R16,5.1k,R_0402_1005Metric,492.15,-203.455,180,bottom
R17,5.1k,R_0402_1005Metric,497.74,-203.25,0,bottom
R18,4.7k,R_0402_1005Metric,397.24,-225.75,180,bottom
R19,4.7k,R_0402_1005Metric,393.24,-225.75,180,bottom
R20,100,R_0402_1005Metric,503.99,-263.75,180,bottom
R21,100,R_0402_1005Metric,503.99,-261.25,180,bottom
R22,10k,R_0402_1005Metric,307.25,-265.47,-90,bottom
R23,10k,R_0402_1005Metric,344.75,-266.24,90,bottom
R24,20k,R_0402_1005Metric,354.99,-210.5,0,bottom
R25,20k,R_0402_1005Metric,355.01,-214.25,180,bottom
R26,20k,R_0402_1005Metric,591.99,-211.75,180,bottom
R27,20k,R_0402_1005Metric,592.01,-207.75,0,bottom
R28,10k,R_0402_1005Metric,596.99,-211.75,0,bottom
R29,10k,R_0402_1005Metric,596.99,-207.75,180,bottom
U1,TP4056-42-ESOP8,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,495.689315,-222.865,180,bottom
U2,MT3608,SOT-23-6,521.5125,-211.05,180,bottom
U3,ADS1115IDGS,TSSOP-10_3x3mm_P0.5mm,399.85,-230.25,180,bottom
U4,MAX98357A,TQFN-16-1EP_3x3mm_P0.5mm_EP1.23x1.23mm,518.5,-262.3125,180,bottom
Battery_3.7V1,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,520,-222.46,0,top
C7,100µF,CP_Radial_D6.3mm_P2.50mm,494.75,-267.5,180,top
C8,100µF,CP_Radial_D6.3mm_P2.50mm,494.5,-257,180,top
D1,RED,LED_D3.0mm,505.75,-197.25,180,top
D2,Green,LED_D3.0mm,486.75,-197.5,180,top
J1,Conn_02x20_Odd_Even,PinHeader_2x20_P2.54mm_Vertical,416.5,-213.15,0,top
J2,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_GCT_USB4085,497.8,-199.86,180,top
J3,Joystick_Left,PinSocket_1x05_P2.54mm_Horizontal,346.5,-205.38,0,top
J4,Joystick_Right,PinSocket_1x05_P2.54mm_Horizontal,602.25,-216.75,180,top
J5,Display_5V,PinHeader_1x02_P2.54mm_Vertical,453.91,-200.71,0,top
J6,Speaker,PinHeader_1x02_P2.54mm_Vertical,510,-263.75,180,top
J7,AudioJack3_3.5mm,Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal,477.05,-269.65,180,top
J10,FCC Connector Left Board,PinHeader_1x12_P1.00mm_Vertical,355.5,-228.25,0,top
J11,FCC Connector Right Board,PinHeader_1x12_P1.00mm_Vertical,590.75,-228.25,0,top
J12,FCC Connector Right Board,PinHeader_1x12_P1.00mm_Vertical,558.75,-228.75,0,top
J13,FCC Connector Left Board,PinHeader_1x12_P1.00mm_Vertical,385.8,-227.25,0,top
JM1,Joystick Module Left Board,Joystick Module 40x27mm,633.25,-210,0,top
JM2,Joystick Module right board,Joystick Module 40x27mm,313.022488,-212.018303,0,top
SW1,SW_SPDT,SW_Slide_SPDT_Angled_CK_OS102011MA1Q,520.6,-196,180,top
SW2,Button_A,SW_PUSH_6mm_H5mm,618.25,-246.75,0,top
SW3,Button_B,SW_PUSH_6mm_H5mm,627.5,-238,0,top
SW4,Button_X,SW_PUSH_6mm_H5mm,608.5,-238.25,0,top
SW5,Button_Y,SW_PUSH_6mm_H5mm,618,-229.5,0,top
SW6,D-pad UP,SW_PUSH_6mm_H5mm,323,-231.75,0,top
SW7,D-pad DOWN,SW_PUSH_6mm_H5mm,323,-249.75,0,top
SW8,D-pad LEFT,SW_PUSH_6mm_H5mm,313,-240.5,0,top
SW9,D-pad RIGHT,SW_PUSH_6mm_H5mm,332.75,-240.5,0,top
SW12,Start,SW_PUSH_6mm_H5mm,311.5,-263.23,0,top
SW13,Select,SW_PUSH_6mm_H5mm,334.75,-263.48,0,top
