"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"Battery_3.7V1";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02";;;
2;"C3";"C_0805_2012Metric";1;"22µF";;;
3;"C4";"C_0805_2012Metric";1;"22uF";;;
4;"C5";"C_0805_2012Metric";1;"10uF";;;
5;"C6";"C_0805_2012Metric";1;"100nF";;;
6;"C7, C8";"CP_Radial_D6.3mm_P2.50mm";2;"100µF";;;
7;"D3";"D_SOD-123";1;"1N5819";;;
8;"J1";"PinHeader_2x20_P2.54mm_Vertical";1;"Conn_02x20_Odd_Even";;;
9;"J2";"PinHeader_1x02_P2.54mm_Vertical";1;"TP4056_Module";;;
10;"J3";"PinSocket_1x05_P2.54mm_Horizontal";1;"Joystick_Left";;;
11;"J4";"PinSocket_1x05_P2.54mm_Horizontal";1;"Joystick_Right";;;
12;"J5";"PinHeader_1x02_P2.54mm_Vertical";1;"Display_5V";;;
13;"J6";"PinHeader_1x02_P2.54mm_Vertical";1;"Speaker";;;
14;"J7";"Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal";1;"AudioJack3_3.5mm";;;
15;"J10, J13";"PinHeader_1x12_P1.00mm_Vertical";2;"FCC Connector Left Board";;;
16;"J11, J12";"PinHeader_1x12_P1.00mm_Vertical";2;"FCC Connector Right Board";;;
17;"L1";"L_Bourns_SRR1260";1;"22uH";;;
18;"R4";"R_0805_2012Metric";1;"100k";;;
19;"R5";"R_0805_2012Metric";1;"33k";;;
20;"R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R22, R23, R28, R29";"R_0805_2012Metric";14;"10k";;;
21;"R18, R19";"R_0805_2012Metric";2;"4.7k";;;
22;"R20, R21";"R_0805_2012Metric";2;"100";;;
23;"R24, R25, R26, R27";"R_0805_2012Metric";4;"20k";;;
24;"SW1";"SW_Slide_SPDT_Angled_CK_OS102011MA1Q";1;"SW_SPDT";;;
25;"SW2";"SW_PUSH_6mm_H5mm";1;"Button_A";;;
26;"SW3";"SW_PUSH_6mm_H5mm";1;"Button_B";;;
27;"SW4";"SW_PUSH_6mm_H5mm";1;"Button_X";;;
28;"SW5";"SW_PUSH_6mm_H5mm";1;"Button_Y";;;
29;"SW6";"SW_PUSH_6mm_H5mm";1;"D-pad UP";;;
30;"SW7";"SW_PUSH_6mm_H5mm";1;"D-pad DOWN";;;
31;"SW8";"SW_PUSH_6mm_H5mm";1;"D-pad LEFT";;;
32;"SW9";"SW_PUSH_6mm_H5mm";1;"D-pad RIGHT";;;
33;"SW12";"SW_PUSH_6mm_H5mm";1;"Start";;;
34;"SW13";"SW_PUSH_6mm_H5mm";1;"Select";;;
35;"U2";"SOT-23-6";1;"MT3608";;;
36;"U3";"TSSOP-10_3x3mm_P0.5mm";1;"ADS1115IDGS";;;
37;"U4";"TQFN-16-1EP_3x3mm_P0.5mm_EP1.23x1.23mm";1;"MAX98357A";;;
