Ref,Val,Package,PosX,PosY,Rot,Side
"C3","22µF","C_0805_2012Metric",212.820000,-24.500000,180.000000,bottom
"C4","22uF","C_0805_2012Metric",247.620000,-16.500000,0.000000,bottom
"C5","10uF","C_0805_2012Metric",123.660000,-25.160000,180.000000,bottom
"C6","100nF","C_0805_2012Metric",123.630000,-29.410000,0.000000,bottom
"D3","1N5819","D_SOD-123",240.920000,-16.500000,180.000000,bottom
"L1","22uH","L_Bourns_SRR1260",230.170000,-16.500000,180.000000,bottom
"R4","100k","R_0805_2012Metric",225.060000,-25.250000,180.000000,bottom
"R5","33k","R_0805_2012Metric",224.060000,-29.500000,180.000000,bottom
"R6","10k","R_0805_2012Metric",298.350000,-68.227500,-90.000000,bottom
"R7","10k","R_0805_2012Metric",321.360000,-58.292500,90.000000,bottom
"R8","10k","R_0805_2012Metric",288.780000,-59.450000,-90.000000,bottom
"R9","10k","R_0805_2012Metric",297.890000,-50.440000,-90.000000,bottom
"R10","10k","R_0805_2012Metric",42.170000,-46.900000,90.000000,bottom
"R11","10k","R_0805_2012Metric",28.590000,-65.440000,-90.000000,bottom
"R12","10k","R_0805_2012Metric",18.270000,-56.410000,-90.000000,bottom
"R13","10k","R_0805_2012Metric",51.530000,-56.210000,90.000000,bottom
"R14","10k","R_0805_2012Metric",59.600000,-23.710000,180.000000,bottom
"R15","10k","R_0805_2012Metric",59.542500,-27.390000,0.000000,bottom
"R18","4.7k","R_0805_2012Metric",94.810000,-39.000000,180.000000,bottom
"R19","4.7k","R_0805_2012Metric",90.810000,-39.000000,180.000000,bottom
"R20","100","R_0805_2012Metric",201.560000,-77.000000,180.000000,bottom
"R21","100","R_0805_2012Metric",201.560000,-74.500000,180.000000,bottom
"R22","10k","R_0805_2012Metric",16.300000,-79.122500,-90.000000,bottom
"R23","10k","R_0805_2012Metric",53.560000,-79.200000,90.000000,bottom
"R24","20k","R_0805_2012Metric",64.100000,-23.900000,0.000000,bottom
"R25","20k","R_0805_2012Metric",64.140000,-27.520000,180.000000,bottom
"R26","20k","R_0805_2012Metric",275.510000,-30.350000,180.000000,bottom
"R27","20k","R_0805_2012Metric",275.440000,-26.310000,0.000000,bottom
"R28","10k","R_0805_2012Metric",280.950000,-30.160000,0.000000,bottom
"R29","10k","R_0805_2012Metric",280.420000,-26.240000,180.000000,bottom
"U2","MT3608","SOT-23-6",219.082500,-24.300000,180.000000,bottom
"U3","ADS1115IDGS","TSSOP-10_3x3mm_P0.5mm",97.420000,-43.500000,180.000000,bottom
"U4","MAX98357A","TQFN-16-1EP_3x3mm_P0.5mm_EP1.23x1.23mm",216.070000,-75.562500,180.000000,bottom
"Battery_3.7V1","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",217.570000,-35.710000,0.000000,top
"C7","100µF","CP_Radial_D6.3mm_P2.50mm",192.320000,-80.750000,180.000000,top
"C8","100µF","CP_Radial_D6.3mm_P2.50mm",192.070000,-70.250000,180.000000,top
"J1","Conn_02x20_Odd_Even","PinHeader_2x20_P2.54mm_Vertical",114.070000,-26.400000,0.000000,top
"J2","TP4056_Module","PinHeader_1x02_P2.54mm_Vertical",177.555000,-13.765000,0.000000,top
"J3","Joystick_Left","PinSocket_1x05_P2.54mm_Horizontal",55.390000,-18.650000,0.000000,top
"J4","Joystick_Right","PinSocket_1x05_P2.54mm_Horizontal",286.110000,-35.190000,180.000000,top
"J5","Display_5V","PinHeader_1x02_P2.54mm_Vertical",151.480000,-13.960000,0.000000,top
"J6","Speaker","PinHeader_1x02_P2.54mm_Vertical",207.570000,-77.000000,180.000000,top
"J7","AudioJack3_3.5mm","Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal",174.620000,-82.900000,180.000000,top
"J10","FCC Connector Left Board","PinHeader_1x12_P1.00mm_Vertical",64.340000,-41.540000,0.000000,top
"J11","FCC Connector Right Board","PinHeader_1x12_P1.00mm_Vertical",274.540000,-46.640000,0.000000,top
"J12","FCC Connector Right Board","PinHeader_1x12_P1.00mm_Vertical",256.320000,-42.000000,0.000000,top
"J13","FCC Connector Left Board","PinHeader_1x12_P1.00mm_Vertical",83.370000,-40.500000,0.000000,top
"SW1","SW_SPDT","SW_Slide_SPDT_Angled_CK_OS102011MA1Q",218.170000,-9.250000,180.000000,top
"SW2","Button_A","SW_PUSH_6mm_H5mm",302.040000,-65.150000,0.000000,top
"SW3","Button_B","SW_PUSH_6mm_H5mm",311.340000,-56.380000,0.000000,top
"SW4","Button_X","SW_PUSH_6mm_H5mm",292.330000,-56.710000,0.000000,top
"SW5","Button_Y","SW_PUSH_6mm_H5mm",301.840000,-47.920000,0.000000,top
"SW6","D-pad UP","SW_PUSH_6mm_H5mm",31.890000,-45.000000,0.000000,top
"SW7","D-pad DOWN","SW_PUSH_6mm_H5mm",31.870000,-63.030000,0.000000,top
"SW8","D-pad LEFT","SW_PUSH_6mm_H5mm",21.930000,-53.760000,0.000000,top
"SW9","D-pad RIGHT","SW_PUSH_6mm_H5mm",41.620000,-53.820000,0.000000,top
"SW12","Start","SW_PUSH_6mm_H5mm",20.410000,-76.500000,0.000000,top
"SW13","Select","SW_PUSH_6mm_H5mm",43.670000,-76.800000,0.000000,top
