Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10µF,C_0805_2012Metric,509.985,-226.972,180,bottom
C2,4.7µF,C_0805_2012Metric,490.199315,-228.807685,180,bottom
C3,22µF,C_0805_2012Metric,516.735,-215.222,180,bottom
C4,22uF,C_0805_2012Metric,551.535,-207.222,0,bottom
C5,10uF,C_0805_2012Metric,427.575,-215.882,180,bottom
C6,100nF,C_0402_1005Metric,427.545,-220.132,0,bottom
D3,1N5819,D_SOD-123,544.835,-207.222,180,bottom
L1,22uH,L_Bourns_SRR1260,534.085,-207.222,180,bottom
R1,2K,R_0402_1005Metric,503.639315,-225.242,180,bottom
R2,1K,R_0402_1005Metric,494.639315,-221.557685,180,bottom
R3,1K,R_0402_1005Metric,499.659315,-221.557685,180,bottom
R4,100k,R_0402_1005Metric,528.975,-215.972,180,bottom
R5,33k,R_0402_1005Metric,527.975,-220.222,180,bottom
R16,5.1k,R_0402_1005Metric,493.635,-207.427,180,bottom
R17,5.1k,R_0402_1005Metric,499.225,-207.222,0,bottom
R18,4.7k,R_0402_1005Metric,398.725,-229.722,180,bottom
R19,4.7k,R_0402_1005Metric,394.725,-229.722,180,bottom
R20,100,R_0402_1005Metric,505.475,-267.722,180,bottom
R21,100,R_0402_1005Metric,505.475,-265.222,180,bottom
U1,TP4056-42-ESOP8,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,497.174315,-226.837,180,bottom
U2,MT3608,SOT-23-6,522.9975,-215.022,180,bottom
U3,ADS1115IDGS,TSSOP-10_3x3mm_P0.5mm,401.335,-234.222,180,bottom
U4,MAX98357A,TQFN-16-1EP_3x3mm_P0.5mm_EP1.23x1.23mm,519.985,-266.2845,180,bottom
Battery_3.7V1,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,521.485,-226.432,0,top
C7,100µF,CP_Radial_D6.3mm_P2.50mm,496.235,-271.472,180,top
C8,100µF,CP_Radial_D6.3mm_P2.50mm,495.985,-260.972,180,top
D1,RED,LED_D3.0mm,507.235,-201.222,180,top
D2,Green,LED_D3.0mm,488.235,-201.472,180,top
J1,Conn_02x20_Odd_Even,PinHeader_2x20_P2.54mm_Vertical,417.985,-217.122,0,top
J2,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_GCT_USB4085,499.285,-203.832,180,top
J5,Display_5V,PinHeader_1x02_P2.54mm_Vertical,455.395,-204.682,0,top
J6,Speaker,PinHeader_1x02_P2.54mm_Vertical,511.485,-267.722,180,top
J7,AudioJack3_3.5mm,Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal,478.535,-273.622,180,top
J12,FCC Connector Right Board,PinHeader_1x12_P1.00mm_Vertical,560.235,-232.722,0,top
J13,FCC Connector Left Board,PinHeader_1x12_P1.00mm_Vertical,387.285,-231.222,0,top
SW1,SW_SPDT,SW_Slide_SPDT_Angled_CK_OS102011MA1Q,522.085,-199.972,180,top
