Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C3,22µF,C_0805_2012Metric,212.82,-24.5,180,bottom
C4,22uF,C_0805_2012Metric,247.62,-16.5,0,bottom
C5,10uF,C_0805_2012Metric,123.66,-25.16,180,bottom
C6,100nF,C_0402_1005Metric,123.63,-29.41,0,bottom
D3,1N5819,D_SOD-123,240.92,-16.5,180,bottom
L1,22uH,L_Bourns_SRR1260,230.17,-16.5,180,bottom
R4,100k,R_0402_1005Metric,225.06,-25.25,180,bottom
R5,33k,R_0402_1005Metric,224.06,-29.5,180,bottom
R6,10k,R_0402_1005Metric,298.325,-67.885,-90,bottom
R7,10k,R_0402_1005Metric,321.325,-58.635,90,bottom
R8,10k,R_0402_1005Metric,288.575,-59.135,-90,bottom
R9,10k,R_0402_1005Metric,298.075,-50.135,-90,bottom
R10,10k,R_0402_1005Metric,42.13,-47.35,90,bottom
R11,10k,R_0402_1005Metric,28.38,-65.08,-90,bottom
R12,10k,R_0402_1005Metric,18.38,-56.08,-90,bottom
R13,10k,R_0402_1005Metric,51.63,-56.35,90,bottom
R14,10k,R_0402_1005Metric,59.4,-23.76,180,bottom
R15,10k,R_0402_1005Metric,59.4,-27.51,0,bottom
R18,4.7k,R_0402_1005Metric,94.81,-39,180,bottom
R19,4.7k,R_0402_1005Metric,90.81,-39,180,bottom
R20,100,R_0402_1005Metric,201.56,-77,180,bottom
R21,100,R_0402_1005Metric,201.56,-74.5,180,bottom
R22,10k,R_0402_1005Metric,16.14,-78.73,-90,bottom
R23,10k,R_0402_1005Metric,53.64,-79.5,90,bottom
R24,20k,R_0402_1005Metric,63.88,-23.76,0,bottom
R25,20k,R_0402_1005Metric,63.9,-27.51,180,bottom
R26,20k,R_0402_1005Metric,275.815,-30.145,180,bottom
R27,20k,R_0402_1005Metric,275.835,-26.145,0,bottom
R28,10k,R_0402_1005Metric,280.815,-30.145,0,bottom
R29,10k,R_0402_1005Metric,280.815,-26.145,180,bottom
U2,MT3608,SOT-23-6,219.0825,-24.3,180,bottom
U3,ADS1115IDGS,TSSOP-10_3x3mm_P0.5mm,97.42,-43.5,180,bottom
U4,MAX98357A,TQFN-16-1EP_3x3mm_P0.5mm_EP1.23x1.23mm,216.07,-75.5625,180,bottom
Battery_3.7V1,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,217.57,-35.71,0,top
C7,100µF,CP_Radial_D6.3mm_P2.50mm,192.32,-80.75,180,top
C8,100µF,CP_Radial_D6.3mm_P2.50mm,192.07,-70.25,180,top
J1,Conn_02x20_Odd_Even,PinHeader_2x20_P2.54mm_Vertical,114.07,-26.4,0,top
J2,TP4056_Module,PinHeader_1x02_P2.54mm_Vertical,177.555,-13.765,0,top
J3,Joystick_Left,PinSocket_1x05_P2.54mm_Horizontal,55.39,-18.64,0,top
J4,Joystick_Right,PinSocket_1x05_P2.54mm_Horizontal,286.075,-35.145,180,top
J5,Display_5V,PinHeader_1x02_P2.54mm_Vertical,151.48,-13.96,0,top
J6,Speaker,PinHeader_1x02_P2.54mm_Vertical,207.57,-77,180,top
J7,AudioJack3_3.5mm,Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal,174.62,-82.9,180,top
J10,Connector Left Board,PinHeader_1x12_P1.00mm_Vertical,64.39,-41.51,0,top
J11,Connector Right Board,PinHeader_1x12_P1.00mm_Vertical,274.575,-46.645,0,top
J12, Connector Right Board,PinHeader_1x12_P1.00mm_Vertical,256.32,-42,0,top
J13,Connector Left Board,PinHeader_1x12_P1.00mm_Vertical,83.37,-40.5,0,top
JM1,Joystick Module Left Board,Joystick Module 40x27mm,317.075,-28.395,0,top
JM2,Joystick Module right board,Joystick Module 40x27mm,21.912488,-25.278303,0,top
SW1,SW_SPDT,SW_Slide_SPDT_Angled_CK_OS102011MA1Q,218.17,-9.25,180,top
SW2,Button_A,SW_PUSH_6mm_H5mm,302.075,-65.145,0,top
SW3,Button_B,SW_PUSH_6mm_H5mm,311.325,-56.395,0,top
SW4,Button_X,SW_PUSH_6mm_H5mm,292.325,-56.645,0,top
SW5,Button_Y,SW_PUSH_6mm_H5mm,301.825,-47.895,0,top
SW6,D-pad UP,SW_PUSH_6mm_H5mm,31.89,-45.01,0,top
SW7,D-pad DOWN,SW_PUSH_6mm_H5mm,31.89,-63.01,0,top
SW8,D-pad LEFT,SW_PUSH_6mm_H5mm,21.89,-53.76,0,top
SW9,D-pad RIGHT,SW_PUSH_6mm_H5mm,41.64,-53.76,0,top
SW12,Start,SW_PUSH_6mm_H5mm,20.39,-76.49,0,top
SW13,Select,SW_PUSH_6mm_H5mm,43.64,-76.74,0,top
